id_envio,fecha_envio,cliente_tipo,origen,destino,volumen_m3,ingreso,costo_1milla,costo_troncal,costo_ultimamilla,costo_total,margen_neto,margen_pct
PYM-10005,2025-11-16,Pyme,Santiago,Rancagua,0.032,3900,1980,761,1044,3785,115,2.9487179487179485
PYM-12015,2025-11-10,Pyme,Lampa,Rancagua,0.04,3900,1872,761,971,3604,296,7.58974358974359
PYM-12599,2025-07-05,Pyme,Lampa,Rancagua,0.037,3900,2002,761,989,3752,148,3.7948717948717952
PYM-11323,2025-12-15,Pyme,Lampa,Rancagua,0.03,3900,2150,762,1006,3918,-18,-0.46153846153846156
PYM-11769,2025-05-13,Pyme,Quilicura,Rancagua,0.048,3900,1962,762,1046,3770,130,3.3333333333333335
PYM-10056,2025-04-15,Pyme,Lampa,Rancagua,0.036,3900,2174,763,991,3928,-28,-0.717948717948718
PYM-10264,2025-12-09,Pyme,San Bernardo,Rancagua,0.038,3900,1977,763,953,3693,207,5.3076923076923075
PYM-10555,2025-10-29,Pyme,Santiago,Rancagua,0.01,3900,1942,763,971,3676,224,5.7435897435897436
PYM-12137,2025-08-12,Pyme,Pudahuel,Rancagua,0.035,3900,1962,763,1033,3758,142,3.6410256410256405
PYM-10192,2025-12-26,Pyme,Quilicura,Rancagua,0.045,3900,2174,764,1004,3942,-42,-1.0769230769230769
PYM-10690,2025-12-20,Pyme,San Bernardo,Rancagua,0.005,3900,1888,764,975,3627,273,7.0000000000000009
PYM-10910,2025-03-10,Pyme,Providencia,Rancagua,0.025,3900,2194,764,964,3922,-22,-0.5641025641025641
PYM-11006,2025-01-30,Pyme,Lampa,Rancagua,0.041,3900,2003,764,1003,3770,130,3.3333333333333335
PYM-12382,2025-03-31,Pyme,Pudahuel,Rancagua,0.034,3900,2163,764,970,3897,3,0.076923076923076927
PYM-12288,2025-09-12,Pyme,San Bernardo,Rancagua,0.044,3900,1893,765,1008,3666,234,6
PYM-13123,2025-01-19,Pyme,Pudahuel,Rancagua,0.013,3900,1813,765,957,3535,365,9.35897435897436
PYM-12301,2025-03-30,Pyme,San Bernardo,Rancagua,0.018,3900,1982,766,951,3699,201,5.1538461538461542
PYM-12363,2025-01-31,Pyme,Pudahuel,Rancagua,0.049,3900,1877,766,1029,3672,228,5.8461538461538458
PYM-12541,2025-05-12,Pyme,Pudahuel,Rancagua,0.022,3900,2048,766,1019,3833,67,1.7179487179487178
PYM-10104,2025-01-10,Pyme,San Bernardo,Rancagua,0.05,3900,2073,767,963,3803,97,2.4871794871794872
PYM-10557,2025-12-11,Pyme,Providencia,Rancagua,0.042,3900,2111,767,957,3835,65,1.6666666666666667
PYM-11075,2025-08-14,Pyme,Lampa,Rancagua,0.008,3900,1920,767,1025,3712,188,4.82051282051282
PYM-13936,2025-06-13,Pyme,Santiago,Rancagua,0.027,3900,1952,767,1006,3725,175,4.4871794871794872
PYM-10395,2025-03-06,Pyme,Providencia,Rancagua,0.007,3900,1823,768,1001,3592,308,7.8974358974358978
PYM-11706,2025-01-06,Pyme,Providencia,Rancagua,0.02,3900,1998,768,1025,3791,109,2.7948717948717947
PYM-10887,2025-11-28,Pyme,Maipú,Rancagua,0.033,3900,1812,769,1012,3593,307,7.8717948717948723
PYM-13492,2025-02-05,Pyme,Lampa,Rancagua,0.039,3900,2082,769,1007,3858,42,1.0769230769230769
PYM-13553,2025-07-22,Pyme,Quilicura,Rancagua,0.023,3900,2157,769,995,3921,-21,-0.53846153846153844
PYM-13795,2025-04-11,Pyme,Quilicura,Rancagua,0.029,3900,1867,769,1029,3665,235,6.0256410256410255
PYM-10662,2025-11-09,Pyme,Lampa,Rancagua,0.028,3900,1995,770,976,3741,159,4.0769230769230766
PYM-12889,2025-06-11,Pyme,Lampa,Rancagua,0.013,3900,1904,770,998,3672,228,5.8461538461538458
PYM-10656,2025-01-28,Pyme,Quilicura,Rancagua,0.013,3900,2076,771,991,3838,62,1.5897435897435899
PYM-10739,2025-07-11,Pyme,Quilicura,Rancagua,0.037,3900,1847,771,978,3596,304,7.7948717948717956
PYM-13498,2025-08-25,Pyme,Maipú,Rancagua,0.037,3900,2185,771,1047,4003,-103,-2.641025641025641
PYM-10632,2025-10-10,Pyme,Maipú,Rancagua,0.013,3900,1857,772,993,3622,278,7.1282051282051286
PYM-11452,2025-04-13,Pyme,Providencia,Rancagua,0.05,3900,1820,772,1028,3620,280,7.1794871794871788
PYM-13726,2025-09-13,Pyme,Maipú,Rancagua,0.032,3900,1951,772,985,3708,192,4.9230769230769234
PYM-11640,2025-12-02,Pyme,Quilicura,Rancagua,0.006,3900,1969,773,1031,3773,127,3.2564102564102559
PYM-11728,2025-04-07,Pyme,Santiago,Rancagua,0.036,3900,2107,773,1025,3905,-5,-0.12820512820512819
PYM-12430,2025-11-26,Pyme,Providencia,Rancagua,0.012,3900,2135,773,1019,3927,-27,-0.69230769230769229
PYM-13705,2025-10-20,Pyme,Santiago,Rancagua,0.039,3900,1885,773,985,3643,257,6.5897435897435894
PYM-11502,2025-01-25,Pyme,Pudahuel,Rancagua,0.015,3900,1896,774,956,3626,274,7.0256410256410255
PYM-10781,2025-03-26,Pyme,Maipú,Rancagua,0.006,3900,1807,775,991,3573,327,8.384615384615385
PYM-12070,2025-11-19,Pyme,Providencia,Rancagua,0.024,3900,1831,775,982,3588,312,8
PYM-12216,2025-05-23,Pyme,Providencia,Rancagua,0.037,3900,2082,775,1018,3875,25,0.641025641025641
PYM-13716,2025-10-24,Pyme,Santiago,Rancagua,0.027,3900,1890,775,1017,3682,218,5.5897435897435894
PYM-13758,2025-11-18,Pyme,Providencia,Rancagua,0.044,3900,2028,775,993,3796,104,2.666666666666667
PYM-10587,2025-10-19,Pyme,Providencia,Rancagua,0.033,3900,1833,776,1025,3634,266,6.8205128205128212
PYM-11865,2025-07-15,Pyme,San Bernardo,Rancagua,0.016,3900,1866,776,1019,3661,239,6.1282051282051286
PYM-12125,2025-03-09,Pyme,San Bernardo,Rancagua,0.024,3900,2037,776,976,3789,111,2.8461538461538463
PYM-13017,2025-08-24,Pyme,San Bernardo,Rancagua,0.007,3900,1929,776,1027,3732,168,4.3076923076923075
PYM-10400,2025-05-14,Pyme,Lampa,Rancagua,0.018,3900,2095,777,1014,3886,14,0.358974358974359
PYM-12151,2025-09-13,Pyme,Maipú,Rancagua,0.013,3900,1856,777,998,3631,269,6.8974358974358969
PYM-12705,2025-11-28,Pyme,Quilicura,Rancagua,0.016,3900,1902,777,969,3648,252,6.4615384615384617
PYM-12882,2025-06-11,Pyme,Lampa,Rancagua,0.033,3900,1803,777,1016,3596,304,7.7948717948717956
PYM-13543,2025-07-22,Pyme,Maipú,Rancagua,0.031,3900,1927,777,1030,3734,166,4.2564102564102564
PYM-13575,2025-05-30,Pyme,Providencia,Rancagua,0.014,3900,1861,777,1031,3669,231,5.9230769230769234
PYM-10637,2025-04-28,Pyme,Maipú,Rancagua,0.049,3900,1805,778,1006,3589,311,7.9743589743589745
PYM-11122,2025-10-01,Pyme,Santiago,Rancagua,0.05,3900,1949,778,1023,3750,150,3.8461538461538463
PYM-11434,2025-01-10,Pyme,San Bernardo,Rancagua,0.015,3900,1903,778,998,3679,221,5.6666666666666661
PYM-11522,2025-10-13,Pyme,Maipú,Rancagua,0.037,3900,2163,778,1040,3981,-81,-2.0769230769230771
PYM-12858,2025-12-13,Pyme,San Bernardo,Rancagua,0.008,3900,2106,778,979,3863,37,0.94871794871794879
PYM-13529,2025-12-12,Pyme,Maipú,Rancagua,0.006,3900,2021,778,1021,3820,80,2.0512820512820511
PYM-11309,2025-04-29,Pyme,San Bernardo,Rancagua,0.031,3900,1981,779,1033,3793,107,2.7435897435897436
PYM-13110,2025-03-10,Pyme,San Bernardo,Rancagua,0.045,3900,1829,779,951,3559,341,8.7435897435897445
PYM-13826,2025-01-12,Pyme,Maipú,Rancagua,0.048,3900,1992,779,1012,3783,117,3
PYM-13942,2025-10-06,Pyme,Lampa,Rancagua,0.027,3900,1889,779,1036,3704,196,5.0256410256410255
PYM-11922,2025-02-13,Pyme,Pudahuel,Rancagua,0.013,3900,2071,780,997,3848,52,1.3333333333333335
PYM-11249,2025-03-29,Pyme,Santiago,Rancagua,0.038,3900,2160,781,1030,3971,-71,-1.8205128205128203
PYM-12908,2025-11-30,Pyme,Maipú,Rancagua,0.034,3900,2064,781,962,3807,93,2.3846153846153846
PYM-13765,2025-09-04,Pyme,Maipú,Rancagua,0.015,3900,2154,781,989,3924,-24,-0.61538461538461542
PYM-10321,2025-02-16,Pyme,Lampa,Rancagua,0.034,3900,2134,782,1014,3930,-30,-0.76923076923076927
PYM-10617,2025-10-02,Pyme,Maipú,Rancagua,0.04,3900,1810,782,994,3586,314,8.0512820512820511
PYM-11003,2025-09-23,Pyme,Maipú,Rancagua,0.01,3900,1986,782,1046,3814,86,2.2051282051282048
PYM-11420,2025-10-11,Pyme,Lampa,Rancagua,0.049,3900,2082,783,966,3831,69,1.7692307692307692
PYM-11882,2025-05-02,Pyme,San Bernardo,Rancagua,0.02,3900,2092,783,1004,3879,21,0.53846153846153844
PYM-12538,2025-06-26,Pyme,Quilicura,Rancagua,0.013,3900,1821,783,979,3583,317,8.1282051282051277
PYM-10896,2025-12-10,Pyme,San Bernardo,Rancagua,0.04,3900,1984,784,953,3721,179,4.5897435897435894
PYM-11852,2025-09-04,Pyme,Providencia,Rancagua,0.018,3900,2196,784,1013,3993,-93,-2.3846153846153846
PYM-12187,2025-02-19,Pyme,Quilicura,Rancagua,0.027,3900,1800,784,977,3561,339,8.6923076923076916
PYM-10297,2025-08-16,Pyme,Quilicura,Rancagua,0.046,3900,1938,785,1027,3750,150,3.8461538461538463
PYM-11024,2025-02-08,Pyme,Providencia,Rancagua,0.007,3900,1990,785,1026,3801,99,2.5384615384615383
PYM-11180,2025-09-21,Pyme,San Bernardo,Rancagua,0.036,3900,1909,785,961,3655,245,6.2820512820512819
PYM-12651,2025-08-13,Pyme,Providencia,Rancagua,0.022,3900,2081,785,1042,3908,-8,-0.20512820512820512
PYM-13190,2025-10-04,Pyme,Lampa,Rancagua,0.037,3900,2117,785,985,3887,13,0.33333333333333337
PYM-11127,2025-07-29,Pyme,Pudahuel,Rancagua,0.031,3900,2041,786,1048,3875,25,0.641025641025641
PYM-11932,2025-12-21,Pyme,San Bernardo,Rancagua,0.039,3900,1821,786,996,3603,297,7.6153846153846159
PYM-12145,2025-04-07,Pyme,Quilicura,Rancagua,0.033,3900,2058,786,1041,3885,15,0.38461538461538464
PYM-12630,2025-09-25,Pyme,Maipú,Rancagua,0.008,3900,1963,786,952,3701,199,5.1025641025641031
PYM-13435,2025-05-23,Pyme,Santiago,Rancagua,0.033,3900,1899,786,1046,3731,169,4.3333333333333339
PYM-11840,2025-12-16,Pyme,Quilicura,Rancagua,0.044,3900,2072,787,971,3830,70,1.7948717948717947
PYM-12506,2025-03-29,Pyme,San Bernardo,Rancagua,0.034,3900,1997,787,981,3765,135,3.4615384615384617
PYM-11577,2025-03-25,Pyme,Providencia,Rancagua,0.018,3900,1805,788,964,3557,343,8.7948717948717956
PYM-12210,2025-08-09,Pyme,Maipú,Rancagua,0.03,3900,2140,788,964,3892,8,0.20512820512820512
PYM-12030,2025-06-16,Pyme,Lampa,Rancagua,0.027,3900,1856,790,978,3624,276,7.0769230769230766
PYM-12551,2025-10-29,Pyme,Quilicura,Rancagua,0.048,3900,1888,790,986,3664,236,6.0512820512820511
PYM-12690,2025-11-06,Pyme,Lampa,Rancagua,0.037,3900,2031,790,959,3780,120,3.0769230769230771
